数据源,波段,均值,标准差,最小值,最大值,中位数
原始UAV,G,1632.1,878.7443446949366,583.0,3900.0,1409.0
原始UAV,R,1194.6,725.9468575591468,368.0,3177.0,927.0
原始UAV,REG,5060.066666666667,2810.4158166047637,1427.0,12293.0,4652.5
原始UAV,NIR,9068.8,4117.492816427654,2854.0,19319.0,8501.0
原始S2,G,1102.4351851851852,476.5173673168642,509.0,2856.0,1013.0
原始S2,R,1083.4907407407406,594.9161082372808,355.0,3124.0,989.0
原始S2,REG,1488.9259259259259,523.4331593344172,701.0,3165.0,1417.5
原始S2,NIR,3282.5185185185187,559.4111567082454,1616.0,4504.0,3166.0
原始L8,G,0.0960222222222222,0.029453786988745522,0.05742750000000002,0.192755,0.08873625000000002
原始L8,R,0.09376696759259258,0.04036349432588448,0.0412575,0.217395,0.0865225
原始L8,REG,0.0,0.0,0.0,0.0,0.0
原始L8,NIR,0.3598480555555556,0.05235965661441374,0.19985000000000003,0.4470475,0.35908875
S2校正后UAV,G,771321.2604166666,456154.87850727496,402465.65625,2423488.75,556924.59375
S2校正后UAV,R,681441.1568287037,659346.3879697392,228934.015625,2924649.25,334122.375
S2校正后UAV,REG,1003607.6736111111,274483.0857341082,642163.8125,2092408.75,926107.46875
S2校正后UAV,NIR,2813774.27645761,1627662.794222132,-291560.03125,5297554.0,3077242.625
L8校正后UAV,G,2024.5517736364293,295.0666609140225,1523.881591796875,3006.664794921875,1952.1249389648438
L8校正后UAV,R,1629.1072206850406,348.8175153520941,1071.020751953125,2842.239013671875,1540.4315185546875
L8校正后UAV,REG,4972.748829029225,258.21856995441937,4481.1416015625,5758.77001953125,4918.332763671875
L8校正后UAV,NIR,9367.365984881366,335.11145534923185,8640.5712890625,9958.90234375,9368.41357421875
