样品唯,抽样编,抽样_1,指标,pH,电导率,全盐量,经度,纬度,CODE,longitude,latitude,G,R,REG,NIR,S1,S1REG,NDSI,NDSIREG,SI1,SI1REG,SI2,SI2REG,SI3,SI3REG,SIT,SITREG,Int1,Int1REG,Int2,Int2REG,NDVI,NDVIREG,SAVI,SAVIREG,BI,BIREG,IFe2O3,IFe2O3REG,DVI,DVIREG,sensor,band_mask,UAV_G,UAV_R,UAV_REG,UAV_NIR,UAV_S1,UAV_S1REG,UAV_NDSI,UAV_NDSIREG,UAV_SI1,UAV_SI1REG,UAV_SI2,UAV_SI2REG,UAV_SI3,UAV_SI3REG,UAV_SIT,UAV_SITREG,UAV_Int1,UAV_Int1REG,UAV_Int2,UAV_Int2REG,UAV_NDVI,UAV_NDVIREG,UAV_SAVI,UAV_SAVIREG,UAV_BI,UAV_BIREG,UAV_IFe2O3,UAV_IFe2O3REG,UAV_DVI,UAV_DVIREG
,FP15010,,pH、电导率、全盐,9.31,0.1897,3.181,109.386184492,34.80084426,fp15,109.38618449200004,34.800844260000076,886.0,844.0,1266.0,2958.0,2817.7787810383747,4226.668171557562,-0.5560231457127828,-0.4005681818181818,864.7450491329801,1059.092063986885,3201.1085579842493,3337.291716347254,1223.6551801876212,1545.2352571696001,-211400.0,-169200.0,865.0,1076.0,2344.0,2555.0,0.5560231457127828,0.4005681818181818,0.8339250493096647,0.6007811575334359,3076.0526653488882,3217.533216611757,0.28532792427315756,0.4279918864097363,2114.0,1692.0,0,"1,1,0,1",611,494,1427,3709,2998.7659574468084,8662.427168576105,-0.7649298120390198,-0.44431464174454827,549.3942118370014,933.7542503249986,3791.3108551001196,4020.737618895319,785.7206882856019,1552.3047381232848,-321500.0,-228200.0,552.5,1019.0,2407.0,2873.5,0.7649298120390198,0.44431464174454827,1.1472582371832996,0.6664070865375256,3741.7531987024477,3974.042022928293,0.13318953895928823,0.3847398220544621,3215.0,2282.0
,FP10010,,pH、电导率、全盐,8.23,0.7574,3.644,109.386019332,34.799327607,fp10,109.38601933200005,34.799327607000066,824.0,714.0,1670.0,3209.0,2780.614077669903,6503.67718446602,-0.6359928626051491,-0.3154334904693585,767.030638240742,1173.064363110567,3389.1670068027042,3710.1963559898013,1090.3082133048435,1862.2234022801883,-249500.0,-153900.0,769.0,1247.0,2373.5,2851.5,0.6359928626051491,0.3154334904693585,0.9538677201478272,0.473101752228712,3287.4727375295447,3617.5379749216177,0.22249922094110314,0.5204113430975382,2495.0,1539.0,0,"1,1,0,1",3821,3177,10033,13893,11551.442292593561,36479.57838262235,-0.6277680140597539,-0.16133076987377748,3484.152264181346,6191.614732846352,14754.959132440863,17557.806782169577,4969.242396985682,10735.973640057058,-1071600.0,-386000.0,3499.0,6927.0,10445.5,13873.5,0.6277680140597539,0.16133076987377748,0.9416244398230866,0.241991097736819,14251.623696968707,17136.993260195908,0.22867631181170373,0.7221622399769668,10716.0,3860.0
2024110209S,xm5,xm5,pH、电导率、有机质、全盐、全氮,8.89,2.4184,15.194,109.4093789,34.79833199,,109.4093789,34.79833199,1766.0,1970.0,2301.0,2786.0,3107.825594563986,3630.003397508494,-0.17157275021026072,-0.09534106546097897,1865.2131245517226,2015.8288617836586,3842.0635080643838,4021.834531653434,2645.6863003765206,2900.5787353561013,-81600.0,-48500.0,1868.0,2033.5,3261.0,3426.5,0.17157275021026072,0.09534106546097897,0.25733207190160834,0.142997542997543,3412.1395047682327,3613.3636683843492,0.7071069633883704,0.8259152907394114,816.0,485.0,0,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110151S,B32,B32,pH、电导率、有机质、全盐、全氮,9.37,0.2983,3.838,109.4039369,34.80687955,,109.4039369,34.80687955,0.08773249999999999,0.07648500000000003,0.0,0.39960999999999997,0.34837911663294685,0.0,-0.6786985790651024,-1.0,0.08191593411846075,0.0,0.4162152074122833,0.40912729517382485,0.11639135183186938,0.08773249999999999,-32.31249999999999,-39.961,0.08210875000000001,0.043866249999999996,0.28191374999999996,0.24367124999999998,0.6786985790651024,1.0,0.4965577121079403,0.666305399006236,0.40686374540501885,0.39960999999999997,0.19139911413628297,0.0,0.32312499999999994,0.39960999999999997,1,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110157S,B38,B38,pH、电导率、有机质、全盐、全氮,8.2,0.6756,4.244,109.4109106,34.81517743,,109.4109106,34.81517743,715.0,514.0,1060.0,4003.0,2877.681118881119,5934.517482517483,-0.7724153199025903,-0.5812759233655935,606.2260304539883,870.5745229444749,4098.710772913844,4202.241544699686,880.5799225510425,1278.6027530081421,-348900.0,-294300.0,614.5,887.5,2616.0,2889.0,0.7724153199025903,0.5812759233655935,1.1584947426674046,0.871827787103782,4035.8648391639676,4140.967157561142,0.1284036972270797,0.2648013989507869,3489.0,2943.0,0,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110129S,B10,B10,pH、电导率、有机质、全盐、全氮,8.54,0.2517,1.594,109.4314885,34.81426136,,109.4314885,34.81426136,0.06952750000000002,0.06050749999999999,0.0,0.3803325,0.330990884811765,0.0,-0.7254899736865984,-1.0,0.0648608911922277,0.0,0.39134133613605143,0.3866353369940467,0.09216957639318953,0.06952750000000002,-31.9825,-38.03325,0.0650175,0.03476375000000001,0.25518375000000004,0.22493000000000002,0.7254899736865984,1.0,0.509903384209855,0.6480491746016421,0.38511552567054474,0.3803325,0.1590910584817232,0.0,0.319825,0.3803325,1,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110207S,xm3,xm3,pH、电导率、有机质、全盐、全氮,8.99,5.1863,17.094,109.4093523,34.7985005,,109.4093523,34.7985005,0.12246499999999999,0.13621499999999997,0.0,0.2788025,0.31010560190666714,0.0,-0.3435698494641793,-1.0,0.1291571522409812,0.0,0.3335911216688028,0.30451356329603774,0.18317260289137127,0.12246499999999999,-14.258750000000003,-27.88025,0.12933999999999998,0.061232499999999995,0.26874125,0.20063375,0.3435698494641793,1.0,0.23374552945708693,0.5369830605320347,0.31029882408937676,0.2788025,0.48857165914939776,0.0,0.14258750000000003,0.2788025,1,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110183S,C30,C30,pH、电导率、有机质、全盐、全氮,8.66,0.1709,1.088,109.3704629,34.79671306,,109.3704629,34.79671306,1064.0,1082.0,1698.0,3541.0,3600.904135338346,5650.956766917293,-0.5319056889465715,-0.35178469173506394,1072.962254694917,1344.1249941876686,3852.466872018499,4068.658378384698,1517.5045304709965,2003.821349322339,-245900.0,-184300.0,1073.0,1381.0,2843.5,3151.5,0.5319056889465715,0.35178469173506394,0.7977722504596085,0.5276266819352992,3702.6213687062304,3927.0707913150736,0.30556340016944367,0.47952555775204747,2459.0,1843.0,0,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110107S,A8,A8,pH、电导率、有机质、全盐、全氮,8.36,0.4852,1.663,109.3888038,34.81062008,,109.3888038,34.81062008,0.07948250000000001,0.07114999999999999,0.0,0.43024500000000004,0.38514052464378945,0.0,-0.7161918248087835,-1.0,0.07520093001419596,0.0,0.4432725463315431,0.43752511680045303,0.10667609997675206,0.07948250000000001,-35.90950000000001,-43.0245,0.07531625,0.039741250000000006,0.29043875,0.25486375000000006,0.7161918248087835,1.0,0.5378921404640528,0.6937607834495215,0.4360883884317491,0.43024500000000004,0.16537089332821994,0.0,0.35909500000000005,0.43024500000000004,1,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2024110208S,xm4,xm4,pH、电导率、有机质、全盐、全氮,9.12,2.2255,7.3,109.4093806,34.79841541,,109.4093806,34.79841541,1268.0,1396.0,1742.0,2520.0,2774.384858044164,3462.018927444795,-0.2870275791624106,-0.18254340685124354,1330.4615740411296,1486.2220560871783,3147.5450751339527,3315.5373621782637,1885.9056179989495,2154.620152138191,-112400.0,-77800.0,1332.0,1505.0,2592.0,2765.0,0.2870275791624106,0.18254340685124354,0.4304864036767522,0.27378299120234606,2880.8359897779674,3063.488860759902,0.553968253968254,0.6912698412698413,1124.0,778.0,0,"1,1,0,1",0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
